Angular Second Moment;Contrast;Correlation;Sum of Squares: Variance;Inverse Difference Moment;Sum Average;Sum Variance;Sum Entropy;Entropy;Difference Variance;Difference Entropy;Information Measure of Correlation 1;Information Measure of Correlation 2;Maximal Correlation Coefficient;Label
0.002262800777558454;194.94880174963424;0.9025820152607366;1020.8768996681591;0.23121672138704438;324.36040865807604;3888.5587969230087;7.538446257044514;9.912949638322685;0.0007279601584436275;3.595944527098165;-0.5187529668196831;0.9988163481189264;3.1799137766848107;1.0
0.0032697485339898548;189.4871591489476;0.9238710530862801;1273.2507941350968;0.2415588479004997;319.3742858006772;4903.5160173914255;7.37041024471786;9.565001446931426;0.0008581674042199764;3.3694606165858882;-0.5448449389206816;0.9991172796871557;3.5241899960150085;1.0
0.0035404628570948286;189.71457510433646;0.9353782724279942;1502.2088647752087;0.2447225823734628;314.1129223216621;5819.12088399648;7.349791879607797;9.527059293143735;0.0009176152581385297;3.267834396523377;-0.5531244124058655;0.9992315875432618;3.661644197925661;1.0
0.0037290268585915905;195.17881755465243;0.9576612676430472;2358.129712607845;0.23991751352270782;291.15636241069984;9237.340032876766;7.378748398476266;9.690774254264324;0.0009156125759176709;3.3130609660180323;-0.5533532646337705;0.9993672561124639;3.82407237741504;1.0
0.00359621530675767;191.8005276216269;0.9450254993933237;1785.2321185996902;0.2433877956376779;307.0331977062323;6949.127946777138;7.367096119773186;9.619163713768986;0.0009255671330720382;3.276064254254852;-0.5493472023537955;0.9992370735226503;3.775786608243415;1.0
0.002173663916344323;302.59289160521837;0.8656948487498053;1143.2812505506784;0.22730601422158794;322.3284633457674;4270.532110597493;7.577725317084015;10.046538690323693;0.0007051244470064953;3.691443706219398;-0.5048038826604373;0.9986223409382646;3.322921944332553;1.0
0.0032777453143293914;187.5832967043122;0.9241940149061413;1265.759925609784;0.24190390626510405;318.046935024104;4875.456405734845;7.373895824694423;9.559099874538774;0.0008638333053259535;3.3503107604906592;-0.546939336224374;0.9991533785567697;3.42982480788551;1.0
0.003443850449574693;188.44638191388682;0.935301543041501;1490.5010359183166;0.24436066120229707;312.8826212308181;5773.557761759367;7.3608821222384835;9.549414829531347;0.0009122661352332369;3.263799290453068;-0.5517907553028589;0.9992252097474498;3.5822074825840793;1.0
0.003513961841733729;194.3607512195346;0.9573917204516665;2333.5701451766263;0.2385074565965041;289.8977074196682;9139.919829486951;7.405823202549483;9.746157577799273;0.0009001731834728064;3.3350444106443313;-0.5485416740870905;0.99933352964151;3.7697882667588662;1.0
0.0034870378359179006;191.74160635556393;0.9447618998132004;1776.358803654906;0.2422538208080168;306.41627016966453;6913.693608264065;7.37757231644408;9.63822319557897;0.000916568864994933;3.285234328363786;-0.5471376924687805;0.9992195360953412;3.6919937433829557;1.0
